"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00034422","1959-01-05","49.283","38.917","64.0","STAROBELSK, UP",,,,,,,,,"   22","H,,S"
"UPM00034422","1959-01-07","49.283","38.917","64.0","STAROBELSK, UP",,,,,,,"    0",",,S","    9","H,,S"
"UPM00034422","1959-01-10","49.283","38.917","64.0","STAROBELSK, UP",,,,,,,,,"   18","H,,S"
"UPM00034422","1959-01-15","49.283","38.917","64.0","STAROBELSK, UP",,,,,,,,,"  -36","H,,S"
"UPM00034422","1959-01-17","49.283","38.917","64.0","STAROBELSK, UP",,,,,,,,,"  -57","H,,S"
"UPM00034422","1959-01-19","49.283","38.917","64.0","STAROBELSK, UP",,,,,,,,," -156","H,,S"
"UPM00034422","1959-01-24","49.283","38.917","64.0","STAROBELSK, UP",,,,,,,,,"   19","H,,S"
"UPM00034422","1959-01-26","49.283","38.917","64.0","STAROBELSK, UP",,,,,,,,,"  -21","H,,S"
"UPM00034422","1959-01-30","49.283","38.917","64.0","STAROBELSK, UP",,,,,,,,," -100","H,,S"
"UPM00034422","1959-01-31","49.283","38.917","64.0","STAROBELSK, UP",,,,,"   28",",,S",,,"  -39","H,,S"
"UPM00034422","1959-07-01","49.283","38.917","64.0","STAROBELSK, UP","    0",",,I",,,,,,,,
"UPM00034422","1959-07-02","49.283","38.917","64.0","STAROBELSK, UP","    0",",,I",,,,,,,,
"UPM00034422","1959-07-03","49.283","38.917","64.0","STAROBELSK, UP","    0",",,I",,,,,,,,
"UPM00034422","1959-07-04","49.283","38.917","64.0","STAROBELSK, UP","    0",",,I",,,,,,,,
"UPM00034422","1959-07-05","49.283","38.917","64.0","STAROBELSK, UP","    0","T,,I",,,,,,,,
"UPM00034422","1959-07-06","49.283","38.917","64.0","STAROBELSK, UP","  196",",,I",,,,,,,,
