"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00033699","1959-01-01","48.05","30.85","103.0","PERVOMAISK, UP",,,,,,,"  -11",",,S","    0","H,,S"
"UPM00033699","1959-01-02","48.05","30.85","103.0","PERVOMAISK, UP",,,,,,,,,"    6","H,,S"
"UPM00033699","1959-01-03","48.05","30.85","103.0","PERVOMAISK, UP","    5","B,,S",,,,,"  -22",",,S","   18","H,,S"
"UPM00033699","1959-01-05","48.05","30.85","103.0","PERVOMAISK, UP",,,,,,,,,"   18","H,,S"
"UPM00033699","1959-01-06","48.05","30.85","103.0","PERVOMAISK, UP",,,,,,,,,"  -21","H,,S"
"UPM00033699","1959-01-07","48.05","30.85","103.0","PERVOMAISK, UP",,,,,,,,,"  -35","H,,S"
"UPM00033699","1959-01-14","48.05","30.85","103.0","PERVOMAISK, UP",,,,,,,,,"  -25","H,,S"
"UPM00033699","1959-01-28","48.05","30.85","103.0","PERVOMAISK, UP",,,,,,,"  -78",",,S","  -64","H,,S"
"UPM00033699","1959-01-29","48.05","30.85","103.0","PERVOMAISK, UP",,,,,,,,,"  -57","H,,S"
"UPM00033699","1959-01-30","48.05","30.85","103.0","PERVOMAISK, UP",,,,,,,,,"  -29","H,,S"
"UPM00033699","1959-07-01","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-02","48.05","30.85","103.0","PERVOMAISK, UP","    0","T,,I",,,,,,,,
"UPM00033699","1959-07-03","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-04","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-05","48.05","30.85","103.0","PERVOMAISK, UP","    0","T,,I",,,,,,,,
"UPM00033699","1959-07-06","48.05","30.85","103.0","PERVOMAISK, UP","    0","T,,I",,,,,,,,
"UPM00033699","1959-07-07","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-08","48.05","30.85","103.0","PERVOMAISK, UP","    0","T,,I",,,,,,,,
"UPM00033699","1959-07-09","48.05","30.85","103.0","PERVOMAISK, UP","    0","T,,I",,,,,,,,
"UPM00033699","1959-07-10","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-11","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-12","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-13","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-14","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-15","48.05","30.85","103.0","PERVOMAISK, UP","    0","T,,I",,,,,,,,
"UPM00033699","1959-07-16","48.05","30.85","103.0","PERVOMAISK, UP","    4",",,I",,,,,,,,
"UPM00033699","1959-07-17","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-18","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-19","48.05","30.85","103.0","PERVOMAISK, UP","    0","T,,I",,,,,,,,
"UPM00033699","1959-07-20","48.05","30.85","103.0","PERVOMAISK, UP","   81",",,I",,,,,,,,
"UPM00033699","1959-07-21","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-22","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-23","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-24","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-25","48.05","30.85","103.0","PERVOMAISK, UP","   20",",,I",,,,,,,,
"UPM00033699","1959-07-26","48.05","30.85","103.0","PERVOMAISK, UP","   20",",,I",,,,,,,,
"UPM00033699","1959-07-27","48.05","30.85","103.0","PERVOMAISK, UP","    1",",,I",,,,,,,,
"UPM00033699","1959-07-28","48.05","30.85","103.0","PERVOMAISK, UP","   43",",,I",,,,,,,,
"UPM00033699","1959-07-29","48.05","30.85","103.0","PERVOMAISK, UP","    0","T,,I",,,,,,,,
"UPM00033699","1959-07-30","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-07-31","48.05","30.85","103.0","PERVOMAISK, UP","   50",",,I",,,,,,,,
"UPM00033699","1959-08-01","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-08-02","48.05","30.85","103.0","PERVOMAISK, UP","  122",",,I",,,,,,,,
"UPM00033699","1959-08-03","48.05","30.85","103.0","PERVOMAISK, UP","   87",",,I",,,,,,,,
"UPM00033699","1959-08-04","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-08-05","48.05","30.85","103.0","PERVOMAISK, UP","    0","T,,I",,,,,,,,
"UPM00033699","1959-08-06","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-08-07","48.05","30.85","103.0","PERVOMAISK, UP","    2",",,I",,,,,,,,
"UPM00033699","1959-08-08","48.05","30.85","103.0","PERVOMAISK, UP","   38",",,I",,,,,,,,
"UPM00033699","1959-08-09","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-08-10","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-08-11","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
"UPM00033699","1959-08-12","48.05","30.85","103.0","PERVOMAISK, UP","    0",",,I",,,,,,,,
