"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00033342","2000-03-26","50.6","30.1","0.0","NEMESHAEVO, UP",,,,,"  126",",,u",,
"UPM00033342","2000-04-25","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  210",",,u",,,,
"UPM00033342","2000-04-26","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  231",",,u","  126",",,u",,
"UPM00033342","2000-04-27","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  230",",,u","  115",",,u","  231",",,u"
"UPM00033342","2000-04-28","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  244",",,u","  153",",,u","  230",",,u"
"UPM00033342","2000-04-29","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  211",",,u","  125",",,u","  244",",,u"
"UPM00033342","2000-04-30","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  251",",,u","  137",",,u","  211",",,u"
"UPM00033342","2000-05-01","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  200",",,u","  230",",I,u",,
"UPM00033342","2000-05-02","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  100",",,u","   30",",,u","  200",",,u"
"UPM00033342","2000-05-03","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  134",",,u","   17",",,u","  100",",,u"
"UPM00033342","2000-05-04","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  190",",,u"," -430",",G,u",,
"UPM00033342","2000-05-05","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  201",",,u","  103",",,u","  190",",,u"
"UPM00033342","2000-05-06","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  225",",,u","   86",",,u","  201",",,u"
"UPM00033342","2000-05-07","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  143",",,u","  104",",,u","  225",",,u"
"UPM00033342","2000-05-08","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  174",",,u","   79",",,u","  143",",,u"
"UPM00033342","2000-05-09","50.6","30.1","0.0","NEMESHAEVO, UP",,,,,"   89",",,u","  174",",,u"
"UPM00033342","2000-05-10","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  208",",,u","  104",",,u",,
"UPM00033342","2000-05-11","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  267",",,u","  116",",,u","  208",",,u"
"UPM00033342","2000-05-12","50.6","30.1","0.0","NEMESHAEVO, UP",,,,,"  111",",,u","  267",",,u"
"UPM00033342","2000-05-13","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  126",",,u",,,,
"UPM00033342","2000-05-14","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  170",",,u","  100",",,u","  126",",,u"
"UPM00033342","2000-05-15","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  176",",,u","  106",",,u","  170",",,u"
"UPM00033342","2000-05-16","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  191",",,u","  114",",,u","  176",",,u"
"UPM00033342","2000-05-17","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  205",",,u","   82",",,u","  191",",,u"
"UPM00033342","2000-05-18","50.6","30.1","0.0","NEMESHAEVO, UP",,,,,"  110",",,u","  205",",,u"
"UPM00033342","2000-05-19","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  264",",,u",,,,
"UPM00033342","2000-05-20","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  155",",,u","  130",",,u",,
"UPM00033342","2000-05-21","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  183",",,u","  110",",,u",,
"UPM00033342","2000-05-22","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  170",",,u","  118",",,u",,
"UPM00033342","2000-05-23","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  201",",,u","  120",",,u",,
"UPM00033342","2000-05-24","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  203",",,u","  126",",,u","  201",",,u"
"UPM00033342","2000-05-25","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  217",",,u","  131",",,u","  203",",,u"
"UPM00033342","2000-05-26","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  258",",,u","  128",",,u","  217",",,u"
"UPM00033342","2000-05-27","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  257",",,u","  171",",,u",,
"UPM00033342","2000-05-28","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  277",",,u","  160",",,u","  257",",,u"
"UPM00033342","2000-05-29","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  285",",,u","  175",",,u","  277",",,u"
"UPM00033342","2000-05-30","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  271",",,u","  172",",,u",,
"UPM00033342","2000-05-31","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  192",",,u","  133",",,u",,
"UPM00033342","2000-06-01","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  187",",,u","  125",",,u","  192",",,u"
"UPM00033342","2000-06-02","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  205",",,u","  125",",,u",,
"UPM00033342","2000-06-03","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  233",",,u","  110",",,u","  205",",,u"
"UPM00033342","2000-06-04","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  274",",,u","  135",",,u","  233",",,u"
"UPM00033342","2000-06-05","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  316",",,u","  156",",,u","  274",",,u"
"UPM00033342","2000-06-06","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  316",",,u","  195",",,u","  316",",,u"
"UPM00033342","2000-06-08","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  213",",,u",,,,
"UPM00033342","2000-06-09","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  210",",,u","  100",",,u",,
"UPM00033342","2000-06-10","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  230",",,u","  140",",,u","  210",",,u"
"UPM00033342","2000-06-11","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  271",",,u","  112",",,u","  230",",,u"
"UPM00033342","2000-06-12","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  297",",,u","  148",",,u","  271",",,u"
"UPM00033342","2000-06-13","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  256",",,u","  193",",,u","  297",",,u"
"UPM00033342","2000-06-14","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  301",",,u","  163",",,u","  256",",,u"
"UPM00033342","2000-06-15","50.6","30.1","0.0","NEMESHAEVO, UP",,,,,"  190",",,u","  301",",,u"
"UPM00033342","2000-06-17","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  165",",,u",,,,
"UPM00033342","2000-06-18","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  150",",,u","   86",",,u",,
"UPM00033342","2000-06-19","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  172",",,u","   85",",,u",,
"UPM00033342","2000-06-20","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  187",",,u","   81",",,u",,
"UPM00033342","2000-06-21","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  151",",,u","   99",",,u","  187",",,u"
"UPM00033342","2000-06-22","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  200",",,u","  120",",,u","  151",",,u"
"UPM00033342","2000-06-23","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  230",",,u","  130",",,u","  200",",,u"
"UPM00033342","2000-06-24","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  283",",,u","  150",",,u","  230",",,u"
"UPM00033342","2000-06-25","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  277",",,u","  173",",,u",,
"UPM00033342","2000-06-26","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  241",",,u","  174",",,u",,
"UPM00033342","2000-06-27","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  207",",,u","  129",",,u",,
"UPM00033342","2000-06-28","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  196",",,u","  114",",,u",,
"UPM00033342","2000-06-29","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  200",",,u","  100",",,u",,
"UPM00033342","2000-06-30","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  220",",,u","  120",",,u","  200",",,u"
"UPM00033342","2000-07-01","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  211",",,u","   14",",G,u",,
"UPM00033342","2000-07-02","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  270",",,u","  140",",,u","  211",",,u"
"UPM00033342","2000-07-03","50.6","30.1","0.0","NEMESHAEVO, UP",,,,,"  150",",,u",,
"UPM00033342","2000-07-05","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  237",",,u",,,,
"UPM00033342","2000-07-06","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  224",",,u","  153",",,u",,
"UPM00033342","2000-07-07","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  226",",,u","  161",",,u",,
"UPM00033342","2000-07-08","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  253",",,u","  150",",,u","  226",",,u"
"UPM00033342","2000-07-09","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  239",",,u","  165",",,u",,
"UPM00033342","2000-07-10","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  223",",,u","  149",",,u",,
"UPM00033342","2000-07-11","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  261",",,u","  135",",,u",,
"UPM00033342","2000-07-12","50.6","30.1","0.0","NEMESHAEVO, UP",,,"  271",",,u","  167",",,u","  261",",,u"
