"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00033409","1959-01-01","49.433","24.95","304.0","BEREZHANY, UP","    0","B,,S",,,"   72",",,S","    0",",,S","   23","H,,S"
"UPM00033409","1959-01-02","49.433","24.95","304.0","BEREZHANY, UP",,,,,,,"  -11",",,S","   13","H,,S"
"UPM00033409","1959-01-03","49.433","24.95","304.0","BEREZHANY, UP",,,,,,,,,"    3","H,,S"
"UPM00033409","1959-01-04","49.433","24.95","304.0","BEREZHANY, UP","   79","B,,S",,,"   11",",,S",,,"    2","H,,S"
"UPM00033409","1959-01-05","49.433","24.95","304.0","BEREZHANY, UP",,,,,,,,,"  -32","H,,S"
"UPM00033409","1959-01-06","49.433","24.95","304.0","BEREZHANY, UP",,,,,,," -111",",,S","  -42","H,,S"
"UPM00033409","1959-01-07","49.433","24.95","304.0","BEREZHANY, UP",,,,,"   11",",,S","  -78",",,S","    2","H,,S"
"UPM00033409","1959-01-08","49.433","24.95","304.0","BEREZHANY, UP","    5","B,,S",,,"   22",",,S","    0",",,S","    9","H,,S"
"UPM00033409","1959-01-09","49.433","24.95","304.0","BEREZHANY, UP","    0","B,,S",,,,,"  -22",",,S","    0","H,,S"
"UPM00033409","1959-01-10","49.433","24.95","304.0","BEREZHANY, UP","   89","B,,S",,,"    0",",,S",,,"  -27","H,,S"
"UPM00033409","1959-01-11","49.433","24.95","304.0","BEREZHANY, UP","   20","B,,S",,,"  -39",",,S","  -72",",,S","  -56","H,,S"
"UPM00033409","1959-01-12","49.433","24.95","304.0","BEREZHANY, UP","    0","B,,S",,,"  -28",",,S","  -78",",,S","  -60","H,,S"
"UPM00033409","1959-01-13","49.433","24.95","304.0","BEREZHANY, UP","    0","B,,S",,,"  -28",",,S"," -100",",,S","  -65","H,,S"
"UPM00033409","1959-01-14","49.433","24.95","304.0","BEREZHANY, UP","    3","B,,S",,,"  -22",",,S","  -61",",,S","  -32","H,,S"
"UPM00033409","1959-01-15","49.433","24.95","304.0","BEREZHANY, UP",,,,,"  -11",",,S",,,"  -42","H,,S"
"UPM00033409","1959-01-16","49.433","24.95","304.0","BEREZHANY, UP","    0","B,,S",,,"  -61",",,S",,,"  -79","H,,S"
"UPM00033409","1959-01-17","49.433","24.95","304.0","BEREZHANY, UP","    0","B,,S",,,"  -61",",,S"," -111",",,S","  -80","H,,S"
"UPM00033409","1959-01-18","49.433","24.95","304.0","BEREZHANY, UP",,,,,"  -28",",,S"," -111",",,S","  -68","H,,S"
"UPM00033409","1959-01-19","49.433","24.95","304.0","BEREZHANY, UP",,,,,,,,,"  -25","H,,S"
"UPM00033409","1959-01-21","49.433","24.95","304.0","BEREZHANY, UP",,,,,"   72",",,S",,,"   32","H,,S"
"UPM00033409","1959-01-22","49.433","24.95","304.0","BEREZHANY, UP","    0","B,,S",,,"   78",",,S","  -11",",,S","   40","H,,S"
"UPM00033409","1959-01-25","49.433","24.95","304.0","BEREZHANY, UP",,,,,,,,,"  -30","H,,S"
"UPM00033409","1959-01-26","49.433","24.95","304.0","BEREZHANY, UP","   20","B,,S",,,,,,,"  -57","H,,S"
"UPM00033409","1959-01-27","49.433","24.95","304.0","BEREZHANY, UP",,,,,,,"  -78",",,S","  -67","H,,S"
"UPM00033409","1959-01-29","49.433","24.95","304.0","BEREZHANY, UP",,,,,,," -100",",,S","  -62","H,,S"
"UPM00033409","1959-01-30","49.433","24.95","304.0","BEREZHANY, UP",,,,,"  -11",",,S","  -28",",,S","  -27","H,,S"
"UPM00033409","1959-01-31","49.433","24.95","304.0","BEREZHANY, UP",,,,,,,,,"  -49","H,,S"
"UPM00033409","1959-07-01","49.433","24.95","304.0","BEREZHANY, UP","   62",",,I",,,,,,,,
"UPM00033409","1959-07-02","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-03","49.433","24.95","304.0","BEREZHANY, UP","    1",",,I",,,,,,,,
"UPM00033409","1959-07-04","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-05","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-06","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-07","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-08","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-09","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-10","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-11","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-12","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-13","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-14","49.433","24.95","304.0","BEREZHANY, UP","    1",",,I",,,,,,,,
"UPM00033409","1959-07-15","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-16","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-17","49.433","24.95","304.0","BEREZHANY, UP","   25",",,I",,,,,,,,
"UPM00033409","1959-07-18","49.433","24.95","304.0","BEREZHANY, UP","  141",",,I",,,,,,,,
"UPM00033409","1959-07-19","49.433","24.95","304.0","BEREZHANY, UP","   18",",,I",,,,,,,,
"UPM00033409","1959-07-20","49.433","24.95","304.0","BEREZHANY, UP","   26",",,I",,,,,,,,
"UPM00033409","1959-07-21","49.433","24.95","304.0","BEREZHANY, UP","    1",",,I",,,,,,,,
"UPM00033409","1959-07-22","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-23","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-24","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-25","49.433","24.95","304.0","BEREZHANY, UP","   35",",,I",,,,,,,,
"UPM00033409","1959-07-26","49.433","24.95","304.0","BEREZHANY, UP","    0","T,,I",,,,,,,,
"UPM00033409","1959-07-27","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-28","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-29","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-07-30","49.433","24.95","304.0","BEREZHANY, UP","   19",",,I",,,,,,,,
"UPM00033409","1959-07-31","49.433","24.95","304.0","BEREZHANY, UP","  134",",,I",,,,,,,,
"UPM00033409","1959-08-01","49.433","24.95","304.0","BEREZHANY, UP","    6",",,I",,,,,,,,
"UPM00033409","1959-08-02","49.433","24.95","304.0","BEREZHANY, UP","  622",",,I",,,,,,,,
"UPM00033409","1959-08-03","49.433","24.95","304.0","BEREZHANY, UP","  231",",,I",,,,,,,,
"UPM00033409","1959-08-04","49.433","24.95","304.0","BEREZHANY, UP","  326",",,I",,,,,,,,
"UPM00033409","1959-08-05","49.433","24.95","304.0","BEREZHANY, UP","   41",",,I",,,,,,,,
"UPM00033409","1959-08-06","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-07","49.433","24.95","304.0","BEREZHANY, UP","   49",",,I",,,,,,,,
"UPM00033409","1959-08-08","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-09","49.433","24.95","304.0","BEREZHANY, UP","    0","T,,I",,,,,,,,
"UPM00033409","1959-08-10","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-11","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-12","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-13","49.433","24.95","304.0","BEREZHANY, UP","   24",",,I",,,,,,,,
"UPM00033409","1959-08-14","49.433","24.95","304.0","BEREZHANY, UP","   28",",,I",,,,,,,,
"UPM00033409","1959-08-15","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-16","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-17","49.433","24.95","304.0","BEREZHANY, UP","   11",",,I",,,,,,,,
"UPM00033409","1959-08-18","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-19","49.433","24.95","304.0","BEREZHANY, UP","   13",",,I",,,,,,,,
"UPM00033409","1959-08-20","49.433","24.95","304.0","BEREZHANY, UP","    2",",,I",,,,,,,,
"UPM00033409","1959-08-21","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-22","49.433","24.95","304.0","BEREZHANY, UP","    1",",,I",,,,,,,,
"UPM00033409","1959-08-23","49.433","24.95","304.0","BEREZHANY, UP","    0","T,,I",,,,,,,,
"UPM00033409","1959-08-24","49.433","24.95","304.0","BEREZHANY, UP","    1",",,I",,,,,,,,
"UPM00033409","1959-08-25","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-26","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-27","49.433","24.95","304.0","BEREZHANY, UP","    0","T,,I",,,,,,,,
"UPM00033409","1959-08-28","49.433","24.95","304.0","BEREZHANY, UP","    0",",,I",,,,,,,,
"UPM00033409","1959-08-29","49.433","24.95","304.0","BEREZHANY, UP","    4",",,I",,,,,,,,
"UPM00033409","1959-08-30","49.433","24.95","304.0","BEREZHANY, UP","    6",",,I",,,,,,,,
