"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00033356","1959-01-01","50.217","31.8","128.0","YAHOTYN, UP","    0","B,,S",,,"   22",",,S","  -22",",,S","    0","H,,S"
"UPM00033356","1959-01-04","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,,,"   19","H,,S"
"UPM00033356","1959-01-05","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,,,"   15","H,,S"
"UPM00033356","1959-01-08","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,,,"  -40","H,,S"
"UPM00033356","1959-01-13","50.217","31.8","128.0","YAHOTYN, UP",,,,,"    0",",,S",,,"   -8","H,,S"
"UPM00033356","1959-01-14","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,,,"  -67","H,,S"
"UPM00033356","1959-01-19","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,,,"  -89","H,,S"
"UPM00033356","1959-01-21","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,,,"  -36","H,,S"
"UPM00033356","1959-01-25","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,,,"  -21","H,,S"
"UPM00033356","1959-01-31","50.217","31.8","128.0","YAHOTYN, UP",,,,,"  -22",",,S",,,"  -62","H,,S"
"UPM00033356","1959-03-14","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,,,"  -21","H,,S"
"UPM00033356","1959-03-19","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,,,"   11","H,,S"
"UPM00033356","1959-03-31","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,,,"    8","H,,S"
"UPM00033356","1959-04-13","50.217","31.8","128.0","YAHOTYN, UP",,,,,,,"   28",",,S","   57","H,,S"
"UPM00033356","1959-07-01","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-02","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-03","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-05","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-09","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-10","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-11","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-12","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-13","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-14","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-15","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-16","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-17","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-18","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-19","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-20","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,"  204","H,,S"
"UPM00033356","1959-07-21","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-22","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-23","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-24","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-28","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-29","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-07-30","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-08-01","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-08-04","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-08-05","50.217","31.8","128.0","YAHOTYN, UP","    2",",,I",,,,,,,,
"UPM00033356","1959-08-06","50.217","31.8","128.0","YAHOTYN, UP","   16",",,I",,,,,,,,
"UPM00033356","1959-08-07","50.217","31.8","128.0","YAHOTYN, UP","   41",",,I",,,,,,,,
"UPM00033356","1959-08-08","50.217","31.8","128.0","YAHOTYN, UP","    0","T,,I",,,,,,,,
"UPM00033356","1959-08-09","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
"UPM00033356","1959-08-10","50.217","31.8","128.0","YAHOTYN, UP","    0",",,I",,,,,,,,
