"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00034319","1959-01-01","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"    8","H,,S"
"UPM00034319","1959-01-03","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"   -8","H,,S"
"UPM00034319","1959-01-05","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"   17","H,,S"
"UPM00034319","1959-01-07","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"    2","H,,S"
"UPM00034319","1959-01-08","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"   -4","H,,S"
"UPM00034319","1959-01-10","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"   18","H,,S"
"UPM00034319","1959-01-11","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"    6","H,,S"
"UPM00034319","1959-01-15","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"  -32","H,,S"
"UPM00034319","1959-01-17","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"  -58","H,,S"
"UPM00034319","1959-01-19","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,," -147","H,,S"
"UPM00034319","1959-01-21","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"   11","H,,S"
"UPM00034319","1959-01-22","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"   12","H,,S"
"UPM00034319","1959-01-24","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"   16","H,,S"
"UPM00034319","1959-01-25","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"   -2","H,,S"
"UPM00034319","1959-01-26","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,"  -39",",,S","  -17","H,,S"
"UPM00034319","1959-01-29","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"  -89","H,,S"
"UPM00034319","1959-01-30","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"  -66","H,,S"
"UPM00034319","1959-01-31","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,"  -50",",,S","  -31","H,,S"
"UPM00034319","1959-04-02","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"   33","H,,S"
"UPM00034319","1959-04-03","49.633","37.7","83.0","KUPIANSK, UP",,,,,,,,,"   48","H,,S"
