"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00033511","1945-10-01","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-02","49.117","23.033","588.0","TURKA, UP","    9",",,I",,,,,,,,
"UPM00033511","1945-10-03","49.117","23.033","588.0","TURKA, UP","   10",",,I",,,,,,,,
"UPM00033511","1945-10-04","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-05","49.117","23.033","588.0","TURKA, UP","   26",",,I",,,,,,,,
"UPM00033511","1945-10-06","49.117","23.033","588.0","TURKA, UP","   31",",,I",,,,,,,,
"UPM00033511","1945-10-07","49.117","23.033","588.0","TURKA, UP","  183",",,I",,,,,,,,
"UPM00033511","1945-10-08","49.117","23.033","588.0","TURKA, UP","   26",",,I",,,,,,,,
"UPM00033511","1945-10-09","49.117","23.033","588.0","TURKA, UP","    8",",,I",,,,,,,,
"UPM00033511","1945-10-10","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-11","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-12","49.117","23.033","588.0","TURKA, UP","   64",",,I",,,,,,,,
"UPM00033511","1945-10-13","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-14","49.117","23.033","588.0","TURKA, UP","   31",",,I",,,,,,,,
"UPM00033511","1945-10-15","49.117","23.033","588.0","TURKA, UP","   58",",,I",,,,,,,,
"UPM00033511","1945-10-16","49.117","23.033","588.0","TURKA, UP","   51",",,I",,,,,,,,
"UPM00033511","1945-10-17","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-18","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-19","49.117","23.033","588.0","TURKA, UP","   28",",,I",,,,,,,,
"UPM00033511","1945-10-20","49.117","23.033","588.0","TURKA, UP","   10",",,I",,,,,,,,
"UPM00033511","1945-10-21","49.117","23.033","588.0","TURKA, UP","    6",",,I",,,,,,,,
"UPM00033511","1945-10-22","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-23","49.117","23.033","588.0","TURKA, UP","    4",",,I",,,,,,,,
"UPM00033511","1945-10-24","49.117","23.033","588.0","TURKA, UP","    3",",,I",,,,,,,,
"UPM00033511","1945-10-26","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-27","49.117","23.033","588.0","TURKA, UP","   40",",,I",,,,,,,,
"UPM00033511","1945-10-28","49.117","23.033","588.0","TURKA, UP","    7",",,I",,,,,,,,
"UPM00033511","1945-10-29","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-30","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-10-31","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-11-01","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-11-02","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-11-03","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-11-04","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
"UPM00033511","1945-11-05","49.117","23.033","588.0","TURKA, UP","    0",",,I",,,,,,,,
