"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00033896","1959-01-01","46.017","29.667","14.0","SARATA, UP","    0","B,,S",,,"  100",",,S","  -11",",,S","   14","H,,S"
"UPM00033896","1959-01-02","46.017","29.667","14.0","SARATA, UP",,,,,,,,,"   21","H,,S"
"UPM00033896","1959-01-03","46.017","29.667","14.0","SARATA, UP",,,,,"   78",",,S","    0",",,S","   60","H,,S"
"UPM00033896","1959-01-04","46.017","29.667","14.0","SARATA, UP",,,,,,,"   72",",I,S","   83","H,,S"
"UPM00033896","1959-01-05","46.017","29.667","14.0","SARATA, UP",,,,,"   28",",I,S",,,"   13","H,,S"
"UPM00033896","1959-01-06","46.017","29.667","14.0","SARATA, UP",,,,,,,,,"   -7","H,,S"
"UPM00033896","1959-01-07","46.017","29.667","14.0","SARATA, UP",,,,,"   39",",,S",,,"  -15","H,,S"
"UPM00033896","1959-01-08","46.017","29.667","14.0","SARATA, UP",,,,,,,,,"   18","H,,S"
"UPM00033896","1959-01-09","46.017","29.667","14.0","SARATA, UP",,,,,"  100",",,S",,,"   74","H,,S"
"UPM00033896","1959-01-10","46.017","29.667","14.0","SARATA, UP",,,,,,,,,"   53","H,,S"
"UPM00033896","1959-01-11","46.017","29.667","14.0","SARATA, UP","  119","B,,S",,,"   78",",,S","  -28",",,S","    9","H,,S"
"UPM00033896","1959-01-13","46.017","29.667","14.0","SARATA, UP",,,,,,,,,"   43","H,,S"
"UPM00033896","1959-01-14","46.017","29.667","14.0","SARATA, UP",,,,,"   39",",,S",,,"    9","H,,S"
"UPM00033896","1959-01-15","46.017","29.667","14.0","SARATA, UP",,,,,"   50",",,S",,,"   10","H,,S"
"UPM00033896","1959-01-16","46.017","29.667","14.0","SARATA, UP",,,,,,,,,"    0","H,,S"
"UPM00033896","1959-01-17","46.017","29.667","14.0","SARATA, UP",,,,,"  -39",",,S",,,"  -46","H,,S"
"UPM00033896","1959-01-18","46.017","29.667","14.0","SARATA, UP",,,,,"  -61",",,S",,,"  -78","H,,S"
"UPM00033896","1959-01-19","46.017","29.667","14.0","SARATA, UP",,,,,,,,," -113","H,,S"
"UPM00033896","1959-01-20","46.017","29.667","14.0","SARATA, UP","    0","B,,S",,,"   11",",,S",,,"  -81","H,,S"
"UPM00033896","1959-01-21","46.017","29.667","14.0","SARATA, UP",,,,,"   39",",,S",,,"   11","H,,S"
"UPM00033896","1959-01-23","46.017","29.667","14.0","SARATA, UP",,,,,"   50",",,S",,,"   18","H,,S"
"UPM00033896","1959-01-24","46.017","29.667","14.0","SARATA, UP","    0","B,,S",,,"   72",",,S","  -22",",,S","   16","H,,S"
"UPM00033896","1959-01-25","46.017","29.667","14.0","SARATA, UP",,,,,"   39",",,S",,,"   11","H,,S"
"UPM00033896","1959-01-26","46.017","29.667","14.0","SARATA, UP",,,,,"    0",",,S",,,"  -28","H,,S"
"UPM00033896","1959-01-28","46.017","29.667","14.0","SARATA, UP",,,,,,,,,"  -59","H,,S"
"UPM00033896","1959-01-29","46.017","29.667","14.0","SARATA, UP",,,,,"  -28",",,S",,,"  -36","H,,S"
